54	450	50	2	13	8	0.2	2330	45000
55	125	30	4	400	10	80	2330	15000
56	125	30	4	330	7	40	2330	15000
57	225	28	3	75	8	2.8	2330	18900
58	225	28	3	75	8	2.8	2330	15000
59	225	28	3	75	8	2.8	2330	18900
60	225	27.5	3	75	1	2.8	19300	18562.5
61	450	50	2	13	8	0.18	2330	45000
62	250	35	2	40	10	0.8	2330	17500
63	350	35	2	20	10	0.3	2330	24500
64	300	35	2	30	10	0.4	2330	21000
65	250	32.5	1	20	10	0.09	2330	8125
66	350	32.5	1	10	10	0.03	2330	11375
67	300	32.5	1	14	10	0.05	2330	9750
68	125	25	2.1	160	8	5	2330	6562.5
69	125	25	2.1	160	8	5	19300	6562.5
70	125	25	2.1	160	8	5	2330	6562.5
71	125	30	4	325	8	40	2330	15000
72	125	30	4	325	8	40	19300	15000
73	125	30	4	325	8	40	2330	15000
74	225	37.5	7	190	8	45	2330	59062.5
75	225	37.5	7	190	8	45	19300	59062.5
76	225	37.5	7	190	8	45	2330	59062.5
77	225	27.5	3	75	8	2.8	2330	18562.5
78	225	27.5	3	75	8	2.8	19300	18562.5
79	225	27.5	3	75	8	2.8	2330	18562.5
80	125	22.5	1	65	8	0.5	2330	2812.5
81	125	22.5	1	65	35	0.5	19300	2812.5
82	125	22.5	1	65	8	0.5	2330	2812.5
83	110	35	2	205	8	8.9	2330	7700
84	90	35	2	300	8	16	2330	6300
85	130	35	2	150	8	5.4	2330	9100
86	110	35	2	205	8	8.9	19300	7700
87	90	35	2	300	8	16	19300	6300
88	130	35	2	150	8	5.4	19300	9100
89	110	35	2	205	35	8.9	19300	7700
90	90	35	2	300	35	16	19300	6300
91	130	35	2	150	35	5.4	19300	9100
92	110	35	2	205	8	8.9	2330	7700
93	90	35	2	300	8	16	2330	6300
94	130	35	2	150	8	5.4	2330	9100
95	110	32.5	1	90	8	1	2330	3575
96	90	32.5	1	130	8	2	2330	2925
97	130	32.5	1	65	8	0.6	2330	4225
98	110	32.5	1	90	8	1	19300	3575
99	90	32.5	1	130	8	2	19300	2925
100	130	32.5	1	65	8	0.6	19300	4225
101	110	32.5	1	90	35	1	19300	3575
102	90	32.5	1	130	35	2	19300	2925
103	130	32.5	1	65	35	0.6	19300	4225
104	110	32.5	1	90	8	1	2330	3575
105	90	32.5	1	130	8	2	2330	2925
106	130	32.5	1	65	8	0.6	2330	4225
107	500	30	2.7	15	8	0.2	2330	40500
108	210	30	2.7	80	8	2.7	2330	17010
109	150	30	2.7	155	8	7	2330	12150
110	100	50	2.7	350	8	42	2330	13500
111	500	30	2.7	15	8	0.2	2330	40500
112	210	30	2.7	80	8	2.7	2330	17010
113	150	30	2.7	155	8	7	2330	12150
114	100	50	2.7	350	8	42	2330	13500
115	225	38	7	190	8	48	2330	59850
116	225	28	3	75	10	3	19300	18900
117	225	28	3	75	10	3	2330	18900
118	225	28	3	75	25	3	19300	18900
119	225	28	3	75	10	3	19300	18900
120	125	30	4	320	8	42	2330	15000
121	125	30	4	320	8	42	2330	15000
122	225	38	7	190	8	48	2330	59850
123	225	38	7	190	8	48	2330	59850
124	150	27	2.8	160	8	7.4	2330	11340
125	150	27	2.8	160	8	7.4	2330	11340
126	110	32.5	1	90	8	1	2330	3575
127	90	32.5	1	130	8	2	2330	2925
128	130	32.5	1	65	8	0.6	2330	4225
129	125	30	4	400	10	80	2330	15000
130	225	37.5	7	210	10	72	2330	59062.5
131	125	30	4	320	2	42	2330	15000
132	225	38	7	190	2	48	2330	59850
133	225	33	5	130	2	15	2330	37125
134	240	40	2.6	70	7	2	2330	24960
135	160	40	4	300	7	26	2330	25600
136	100	40	0.5	67	10	0.48	3210	2000
137	200	40	0.5	17	10	0.06	3210	4000
138	100	13.5	0.5	67	10	0.32	19300	675
139	100	13.5	0.5	67	40	0.32	19300	675
140	200	28	0.5	17	40	0.08	19300	2800
141	200	28	0.5	17	10	0.08	19300	2800
142	100	13.5	0.5	67	10	0.32	3210	675
143	450	50	2	13	10	0.2	2330	45000
144	225	48	1	25	10	0.2	2330	10800
145	450	50	2	13	7	0.2	2330	45000
146	450	50	2	13	7	0.2	2330	45000
147	225	48	1	25	7	0.2	2330	10800
148	225	48	1	25	7	0.2	2330	10800
149	225	48	1	25	7	0.2	2330	10800
150	225	48	1	25	7	0.2	2330	10800
151	225	28	3	75	7	2.8	2330	18900
152	225	28	3	75	7	2.8	19300	18900
153	225	28	3	75	7	2.8	2330	18900
154	225	28	3	75	10	2.8	2330	18900
155	225	48	1	23	10	0.2	2330	10800
156	225	48	1	23	7	0.2	2330	10800
157	125	30	4	330	7	42	2330	15000
158	125	30	4	330	7	42	19300	15000
159	125	30	4	330	7	42	2330	15000
160	225	38	7	190	7	48	2330	59850
161	225	38	7	190	7	48	19300	59850
162	225	38	7	190	7	48	2330	59850
163	150	27	2.8	160	7	7.4	2330	11340
164	150	27	2.8	160	7	7.4	19300	11340
165	150	27	2.8	160	7	7.4	2330	11340
166	225	28	3	75	7	2.8	2330	18900
167	225	28	3	75	7	2.8	19300	18900
168	125	30	4	330	7	42	2330	15000
169	450	50	2	13	7	0.2	2330	45000
170	225	28	3	75	7	2.8	2330	18900
171	225	28	3	75	7	2.8	19300	18900
172	125	30	4	330	7	42	2330	15000
173	225	33	5	130	7	15	2330	37125
174	225	33	5	130	7	15	2330	37125
175	450	50	2	13	10	0.2	2330	45000
176	125	30	4	330	7	42	2330	15000
177	150	27	2.8	160	7	7.4	2330	11340
178	450	55	4	27	10	1.6	2330	99000
179	225	57	5	130	7	27	2330	64125
180	225	38	7	1190	2	48	2330	59850
181	40	20	0.4	90	10	0.3	19300	320
182	60	25	0.4	50	10	0.1	19300	600
183	80	30	0.4	30	10	0.06	19300	960
184	40	20	0.4	90	30	0.3	19300	320
185	60	25	0.4	50	30	0.1	19300	600
186	80	30	0.4	30	30	0.06	19300	960
187	100	14	0.9	50	10	0.3	19300	1260
188	200	28	0.9	20	10	0.08	19300	5040
189	125	35	0.75	30	10	0.1	2650	3281.25
190	40	22	2.5	800	10	80	19300	2200
191	60	27	2.5	420	10	30	19300	4050
192	80	32	2.5	250	10	15	19300	6400
193	115	25	1	60	10	0.5	2650	2875
194	125	34	0.35	11	10	0.01	2650	1487.5
195	450	50	2	13	20	0.2	2330	45000
196	450	50	2	13	10	0.2	2330	45000
197	450	50	2	7	10	0.2	2330	45000
198	225	45	1	8	10	0.2	2330	10125
199	450	45	1	6.5	10	0.02	2330	20250
200	450	50	2	15	10	0.2	2330	45000
201	225	33	5	130	8	15	2330	37125
202	100	16	0.52	30	15	0.27	19300	832
203	200	30	0.52	10	15	0.06	19300	3120
204	225	30	3	75	2	2.8	2330	20250
205	225	30	3	75	2	2.8	2330	20250
206	125	30	4	330	2	42	2330	15000
207	125	30	4	330	2	42	2330	15000
208	225	38	7	190	2	48	2330	59850
209	225	38	7	190	2	48	2330	59850
210	225	33	5	130	2	15	2330	37125
211	225	33	5	130	2	15	2330	37125
212	125	25	2.1	150	10	5	2330	6562.5
213	125	25	2.1	150	10	5	2330	6562.5
214	125	25	2.1	150	10	5	19300	6562.5
215	225	38	7	190	10	48	19300	59850
216	225	38	7	190	10	48	2330	59850
217	225	38	7	190	10	48	19300	59850
218	125	30	4	300	10	40	19300	15000
219	125	30	4	300	10	40	2330	15000
220	125	30	4	300	10	40	19300	15000
221	125	30	4	320	8	42	2330	15000
222	125	30	4	320	8	42	2330	15000
223	20	10	0.19	300	10	0.3	19300	38
224	7	2	0.08	1200	10	0.15	19300	1.12
225	7	3	0.1	1500	10	0.6	19300	2.1
226	500	30	2.7	15	10	0.2	2330	40500
227	210	30	2.7	80	10	2.7	2330	17010
228	200	28	0.5	17	10	0.08	19300	2800
229	100	13.5	0.5	67	10	0.32	19300	675
230	225	57	5	130	8	27	2330	64125
